PFAM	UniProt	pseudohap
PF00001	147.2	680.333333333333
PF00002	20.4666666666667	22
PF00003	8.13333333333333	19.6666666666667
PF00004	56	120.333333333333
PF00005	90.2	338.333333333333
PF00006	5.53333333333333	11.6666666666667
PF00007	1.46666666666667	2
PF00008	164.133333333333	477.333333333333
PF00009	19.1333333333333	46
PF00010	55.8666666666667	76.6666666666667
PF00011	14.8	59
PF00012	18.0666666666667	52.3333333333333
PF00013	43.6666666666667	107.666666666667
PF00014	25.2666666666667	25.3333333333333
PF00015	0.466666666666667	0.333333333333333
PF00017	26.8	60
PF00018	34.4666666666667	58.3333333333333
PF00019	6.46666666666667	9
PF00021	1.93333333333333	0.666666666666667
PF00022	22	29.6666666666667
PF00023	19.8	59.6666666666667
PF00024	20.8666666666667	46.3333333333333
PF00025	16.8666666666667	53.6666666666667
PF00026	8.8	10.6666666666667
PF00027	26.3333333333333	62
PF00028	139.266666666667	134.333333333333
PF00030	3.4	0.333333333333333
PF00031	3.8	4.66666666666667
PF00034	1.33333333333333	2
PF00035	14.0666666666667	27.3333333333333
PF00036	6.66666666666667	43
PF00037	0.866666666666667	2.66666666666667
PF00038	10.0666666666667	27.3333333333333
PF00040	3.93333333333333	15
PF00041	139.533333333333	155.333333333333
PF00042	6.6	11
PF00043	11.3333333333333	15
PF00044	2.6	7.33333333333333
PF00045	13.6	8
PF00046	88.8	204.666666666667
PF00047	13.8666666666667	14
PF00049	1.8	4
PF00050	5.73333333333333	0.666666666666667
PF00051	25	2
PF00052	4.06666666666667	5.66666666666667
PF00053	78.5333333333333	80
PF00054	6.13333333333333	10
PF00055	5.33333333333333	6
PF00056	4.6	6.66666666666667
PF00057	109.933333333333	196.333333333333
PF00058	29.6666666666667	8.33333333333333
PF00059	100.266666666667	11.6666666666667
PF00060	16	59
PF00061	5.33333333333333	15
PF00062	1.8	2
PF00063	20.8	49.3333333333333
PF00066	3.26666666666667	2
PF00067	110.4	178.333333333333
PF00068	2.06666666666667	6
PF00069	309	513.666666666667
PF00070	0.0666666666666667	0.333333333333333
PF00071	76.9333333333333	187.666666666667
PF00075	3.2	1.33333333333333
PF00076	197.2	412
PF00077	0.533333333333333	0.666666666666667
PF00078	23.6	115.333333333333
PF00079	13.4	20
PF00080	5.2	20.6666666666667
PF00081	1.93333333333333	4.66666666666667
PF00082	17.2	21.6666666666667
PF00083	45.3333333333333	56.6666666666667
PF00084	107.066666666667	56.3333333333333
PF00085	35.6	52
PF00086	8	4
PF00087	1.33333333333333	2
PF00088	3.26666666666667	18.6666666666667
PF00089	59.8	115.333333333333
PF00090	76.7333333333333	70.6666666666667
PF00091	17.6666666666667	39
PF00092	35.7333333333333	62
PF00093	12	14
PF00094	17.2	14.3333333333333
PF00095	11.2	10.3333333333333
PF00096	914.133333333333	252.333333333333
PF00097	16.8666666666667	34
PF00098	32.8	79.3333333333333
PF00102	27.1333333333333	56.3333333333333
PF00104	30.4666666666667	40.6666666666667
PF00105	37.8666666666667	191
PF00106	54.3333333333333	152
PF00107	17.6	60.3333333333333
PF00108	4.66666666666667	9.33333333333333
PF00109	7.6	27.3333333333333
PF00110	6.4	7
PF00111	5.66666666666667	9
PF00112	19	91.3333333333333
PF00113	2.53333333333333	3
PF00117	6.73333333333333	11
PF00118	14.2666666666667	28.6666666666667
PF00120	3.73333333333333	10.3333333333333
PF00121	1.4	1.33333333333333
PF00122	23.4	65
PF00125	25.5333333333333	28.3333333333333
PF00127	0.2	1.33333333333333
PF00128	8.33333333333333	45
PF00130	19.8666666666667	75.6666666666667
PF00132	9.46666666666667	13.6666666666667
PF00133	8.93333333333333	19.3333333333333
PF00134	19.8666666666667	33.3333333333333
PF00135	24.6666666666667	45
PF00136	4.4	6.33333333333333
PF00137	9.13333333333333	13.6666666666667
PF00141	17.9333333333333	3
PF00144	5.26666666666667	42.3333333333333
PF00145	3.26666666666667	1
PF00147	30	13.6666666666667
PF00149	36.4	113
PF00150	5.73333333333333	12
PF00151	8.53333333333333	10.6666666666667
PF00152	6.6	10.3333333333333
PF00153	109.266666666667	202.666666666667
PF00155	17.0666666666667	36.6666666666667
PF00156	5.46666666666667	11
PF00157	4.06666666666667	6.33333333333333
PF00159	0.666666666666667	4.33333333333333
PF00160	17.2666666666667	39.3333333333333
PF00162	2	1.66666666666667
PF00163	2.06666666666667	1
PF00164	2.33333333333333	3.66666666666667
PF00166	2.06666666666667	2.33333333333333
PF00167	2.6	3.33333333333333
PF00168	84.4	231
PF00169	48.3333333333333	70
PF00170	18.0666666666667	16
PF00171	14.4	41
PF00173	13.2666666666667	24.6666666666667
PF00174	1.73333333333333	5
PF00175	8.86666666666667	22.6666666666667
PF00176	25.2666666666667	30
PF00177	2.4	3.66666666666667
PF00178	7.8	16.3333333333333
PF00179	30.1333333333333	99.3333333333333
PF00180	5.93333333333333	8.33333333333333
PF00181	2.46666666666667	3.33333333333333
PF00182	4.13333333333333	11
PF00183	4.53333333333333	6.33333333333333
PF00184	0.533333333333333	2.33333333333333
PF00185	1.6	1.33333333333333
PF00186	1.46666666666667	2.33333333333333
PF00187	1.46666666666667	18.6666666666667
PF00188	19.8666666666667	37.6666666666667
PF00189	1.53333333333333	2
PF00190	9.8	7.66666666666667
PF00191	24.7333333333333	36
PF00194	10.5333333333333	24
PF00195	2.86666666666667	1.33333333333333
PF00198	4.53333333333333	9
PF00199	2.2	5.66666666666667
PF00200	5.46666666666667	4.33333333333333
PF00201	37.1333333333333	18
PF00202	5.73333333333333	14.3333333333333
PF00203	2.2	1.66666666666667
PF00204	1.6	3
PF00205	3.06666666666667	4.66666666666667
PF00206	3.46666666666667	6.66666666666667
PF00207	3.8	12
PF00208	2.13333333333333	7
PF00209	15.2	26.6666666666667
PF00210	3.4	5.33333333333333
PF00211	28.4	33.3333333333333
PF00213	1.33333333333333	1.33333333333333
PF00215	1.06666666666667	1.33333333333333
PF00217	2.8	4
PF00219	2.6	2.66666666666667
PF00220	0.133333333333333	0.666666666666667
PF00221	1.86666666666667	5
PF00224	3.73333333333333	3.66666666666667
PF00225	29.6	50.3333333333333
PF00226	41.7333333333333	77.3333333333333
PF00227	16.4666666666667	26.6666666666667
PF00230	12.5333333333333	17
PF00231	1.26666666666667	1.33333333333333
PF00232	11.3333333333333	1
PF00233	7.33333333333333	18.3333333333333
PF00235	3.53333333333333	3.33333333333333
PF00237	2.46666666666667	3
PF00238	2.53333333333333	3.33333333333333
PF00240	42.4	108.666666666667
PF00241	8.53333333333333	11
PF00244	5.26666666666667	13
PF00245	3.86666666666667	3.66666666666667
PF00246	11.8666666666667	34
PF00248	18.0666666666667	46
PF00249	58.2666666666667	17.6666666666667
PF00250	16	43
PF00251	1.53333333333333	3.66666666666667
PF00252	2.73333333333333	3.33333333333333
PF00253	2.2	1
PF00254	13.6	17.6666666666667
PF00255	3.66666666666667	6.33333333333333
PF00258	4.53333333333333	11
PF00261	2.06666666666667	8.66666666666667
PF00262	4	6
PF00266	8.4	23.6666666666667
PF00268	1.4	2
PF00270	60.8	111.333333333333
PF00271	87.6666666666667	167.666666666667
PF00274	2.2	6.33333333333333
PF00275	0.4	0.333333333333333
PF00276	2.46666666666667	3.33333333333333
PF00277	0.266666666666667	1.66666666666667
PF00278	1.8	4.66666666666667
PF00280	2	28
PF00281	1.6	2.66666666666667
PF00282	9.73333333333333	26.6666666666667
PF00285	2.93333333333333	3.66666666666667
PF00287	2.33333333333333	14.3333333333333
PF00288	5.53333333333333	8.66666666666667
PF00289	3.6	8.33333333333333
PF00291	8.93333333333333	15
PF00292	4.53333333333333	24.3333333333333
PF00293	15.2	33.6666666666667
PF00294	7.26666666666667	12.3333333333333
PF00295	8	4
PF00297	2.4	3
PF00298	2.26666666666667	3.33333333333333
PF00300	10.5333333333333	50.6666666666667
PF00303	1.2	2.33333333333333
PF00304	2.2	0.333333333333333
PF00305	5.26666666666667	1
PF00306	1.2	2
PF00307	39.8666666666667	85.3333333333333
PF00311	1.2	5.66666666666667
PF00312	2.26666666666667	2
PF00313	5.06666666666667	25.6666666666667
PF00314	5.4	4
PF00316	1.8	1.66666666666667
PF00317	1.13333333333333	1.33333333333333
PF00318	3.8	7
PF00319	14.5333333333333	6.33333333333333
PF00320	13.8666666666667	12.6666666666667
PF00324	8.6	28.3333333333333
PF00326	6.86666666666667	36.6666666666667
PF00327	2.2	2.33333333333333
PF00328	8.13333333333333	16.6666666666667
PF00329	1.06666666666667	1
PF00330	3.2	3.66666666666667
PF00331	3.26666666666667	3.66666666666667
PF00333	2.46666666666667	3
PF00334	5.4	19
PF00335	23.2666666666667	51.3333333333333
PF00337	6.6	7.66666666666667
PF00338	2.86666666666667	5
PF00339	9	29.6666666666667
PF00341	1.4	2
PF00342	1.53333333333333	2.66666666666667
PF00343	1.73333333333333	8
PF00344	2	2.66666666666667
PF00346	1.4	1.33333333333333
PF00347	3.33333333333333	4.33333333333333
PF00348	5.53333333333333	13.3333333333333
PF00349	3.26666666666667	10
PF00350	10.8666666666667	39.6666666666667
PF00351	2.13333333333333	6
PF00352	4.4	11.6666666666667
PF00355	4.46666666666667	13.3333333333333
PF00359	0.2	3
PF00362	2.06666666666667	1.33333333333333
PF00364	8.33333333333333	16.6666666666667
PF00365	4.73333333333333	5.33333333333333
PF00366	2.2	3.66666666666667
PF00368	1.33333333333333	2
PF00370	4	8
PF00373	14.8666666666667	37.6666666666667
PF00375	2.8	4.33333333333333
PF00378	10	21
PF00380	2.2	3
PF00382	5.73333333333333	11
PF00383	6.06666666666667	13.6666666666667
PF00384	1.06666666666667	1
PF00385	14.2666666666667	25
PF00386	6.06666666666667	6.66666666666667
PF00387	5.53333333333333	18.3333333333333
PF00388	6.06666666666667	22
PF00389	4.93333333333333	15.3333333333333
PF00390	3	5.33333333333333
PF00391	0.333333333333333	2
PF00393	1.33333333333333	1.66666666666667
PF00394	9.06666666666667	15.6666666666667
PF00396	5.6	14.3333333333333
PF00397	21.8666666666667	34
PF00398	2.46666666666667	3
PF00400	540.466666666667	789.333333333333
PF00402	5.66666666666667	5
PF00403	14.9333333333333	15
PF00405	2.6	3.66666666666667
PF00406	8.86666666666667	22
PF00408	2.86666666666667	3.33333333333333
PF00410	1.8	2.33333333333333
PF00411	2.4	4.33333333333333
PF00412	57.4	193.333333333333
PF00413	8.33333333333333	13.6666666666667
PF00415	55.4666666666667	45.3333333333333
PF00416	1.73333333333333	2.66666666666667
PF00418	3.8	8
PF00428	5	8.66666666666667
PF00431	66.5333333333333	29.3333333333333
PF00432	13.9333333333333	15
PF00433	9	17.3333333333333
PF00435	61.8666666666667	100
PF00436	1.13333333333333	1
PF00438	1.86666666666667	3
PF00439	23.0666666666667	54.3333333333333
PF00441	9.13333333333333	17.3333333333333
PF00443	30.6666666666667	81
PF00444	1.2	1
PF00445	2.66666666666667	8.66666666666667
PF00447	5.6	2
PF00448	2.8	4.33333333333333
PF00449	0.733333333333333	1.66666666666667
PF00450	12.3333333333333	14
PF00452	2.66666666666667	5.33333333333333
PF00453	0.933333333333333	1.33333333333333
PF00454	14.0666666666667	28
PF00456	1.46666666666667	1.33333333333333
PF00458	3.73333333333333	5.33333333333333
PF00459	4.73333333333333	8
PF00462	11.2666666666667	12
PF00463	0.666666666666667	1
PF00464	2.46666666666667	2.33333333333333
PF00465	0.866666666666667	3.33333333333333
PF00466	2.86666666666667	4
