PFAM	UniProt	BRACP
PF00001	145.214285714286	175
PF00002	20.2857142857143	23
PF00003	8.14285714285714	8
PF00004	56.5714285714286	48
PF00005	90.3571428571429	88
PF00006	5.5	6
PF00007	1.5	1
PF00008	152.357142857143	329
PF00009	19.1428571428571	19
PF00010	57.2142857142857	37
PF00011	14.2857142857143	22
PF00012	18.0714285714286	18
PF00013	43.9285714285714	40
PF00014	24.8571428571429	31
PF00017	26.9285714285714	25
PF00018	34.5	34
PF00019	6.57142857142857	5
PF00021	1.92857142857143	2
PF00022	21.9285714285714	23
PF00023	19.8571428571429	19
PF00024	20.4285714285714	27
PF00025	16.5	22
PF00026	9.21428571428571	3
PF00027	26.2142857142857	28
PF00028	146.071428571429	44
PF00031	3.64285714285714	6
PF00034	1.35714285714286	1
PF00035	14.0714285714286	14
PF00036	6.07142857142857	15
PF00037	0.857142857142857	1
PF00038	10.0714285714286	10
PF00040	3.71428571428571	7
PF00041	144.571428571429	69
PF00042	6.35714285714286	10
PF00043	11.8571428571429	4
PF00044	2.71428571428571	1
PF00045	14.2857142857143	4
PF00046	88.5714285714286	92
PF00047	14.2857142857143	8
PF00049	1.85714285714286	1
PF00051	26.5714285714286	3
PF00052	4.07142857142857	4
PF00053	78.5714285714286	78
PF00054	6.35714285714286	3
PF00055	5.28571428571429	6
PF00056	4.78571428571429	2
PF00057	114.142857142857	51
PF00058	31.0714285714286	10
PF00059	104	48
PF00060	16.4285714285714	10
PF00061	5.35714285714286	5
PF00063	20.6428571428571	23
PF00067	114.857142857143	48
PF00068	2.07142857142857	2
PF00069	316.285714285714	207
PF00071	76.9285714285714	77
PF00075	3.35714285714286	1
PF00076	198.357142857143	181
PF00077	0.357142857142857	3
PF00078	17.5	109
PF00079	13.8571428571429	7
PF00080	5.07142857142857	7
PF00081	1.92857142857143	2
PF00082	17.7857142857143	9
PF00083	47.2142857142857	19
PF00084	113.928571428571	11
PF00085	35	44
PF00086	8.35714285714286	3
PF00087	0.5	13
PF00088	3.21428571428571	4
PF00089	56.9285714285714	100
PF00090	79.6428571428571	36
PF00091	17.5714285714286	19
PF00092	37	18
