ID	TE	count	mean
Bc_PSC1	DNA/MULE-MuDR#MuDR12_Av	3	87.67
Bc_PSC1	LTR/Gypsy#Gypsy-11_LG-I	1	65
Bc_PSC1	DNA/MULE-MuDR#MuDR-14_CB	1	100
Bc_PSC1	LTR/Pao#BEL-54_AA-I	1	49
Bc_PSC1	DNA/RC#Helitron-2_SIn	2	275.5
Bc_PSC1	DNA/MULE-NOF#Rehavkus-1_HR	2	49
Bc_PSC1	LTR/Gypsy#Gypsy-44_DEl-LTR	1	39
Bc_PSC1	LTR/Gypsy#rnd-5_family-1160	35	594.23
Bc_PSC1	DNA/Academ-1#Academ-2_LMi	1	63
Bc_PSC1	DNA#DNA3-3_LMi	1	16
Bc_PSC1	LINE/L2#Daphne-3_CTe	2	52.5
Bc_PSC1	LINE/L2#Daphne-28_LMi	10	235.4
Bc_PSC1	DNA/MULE-MuDR#MuDR10_Av	2	82
Bc_PSC1	DNA/RC#HELITRON7_CB	4	139.75
Bc_PSC1	LTR/Gypsy#Gypsy-237_AA-I	2	46.5
Bc_PSC1	PLE/Penelope#Penelope-3_CGi	2	61.5
Bc_PSC1	DNA/TcMar-m44#Mariner-2_AP	1	95
Bc_PSC1	LTR/Copia#Copia2_I	1	28
Bc_PSC1	LINE/RTE-X#RTEX-27_CGi	3	86
Bc_PSC1	LTR/Gypsy#Gypsy-29_DWil-I	4	68
Bc_PSC1	LTR/Copia#Copia-1_DPer-I	2	62
Bc_PSC1	LINE/L2#L2-14_HRo	1	55
Bc_PSC1	LINE/I#I-4_AC	1	126
Bc_PSC1	LTR/Gypsy#rnd-5_family-5483	52	528.69
Bc_PSC1	LINE/Proto2#Proto2-2_CTe	1	47
Bc_PSC1	LINE/I-Jockey#BS	1	69
Bc_PSC1	LTR/Gypsy#Gypsy-3_HMM-I	1	46
Bc_PSC1	LTR/Pao#BEL-1_DBi-LTR	1	90
Bc_PSC1	DNA/Maverick#Polinton-4_LMi	2	71.5
Bc_PSC1	LTR/Gypsy#Gypsy-55_LMi-I	2	54
Bc_PSC1	DNA/hAT#hAT12_Av	3	76
Bc_PSC1	LTR/Gypsy#rnd-5_family-1262	66	304.41
Bc_PSC1	LINE/RTE-BovB#rnd-5_family-826	86	110.13
Bc_PSC1	DNA/CMC-EnSpm#CACTA8_Av	1	109
Bc_PSC1	DNA#DNA-2N1_PBa	1	54
Bc_PSC1	LINE/L2#Crack-26_AAe	1	59
Bc_PSC1	LINE/L2#Daphne-73_LMi	4	187.5
Bc_PSC1	DNA/TcMar-Tigger#DNA-TA-7_AAe	5	59.4
Bc_PSC1	LINE/L2#Daphne-53_LMi	1	88
Bc_PSC1	LINE/R1-LOA#LOA-1B_DPer	1	78
Bc_PSC1	LTR/Gypsy#Gypsy-15_IS-I	1	47
Bc_PSC1	LTR/Pao#BEL-288_AA-I	1	56
Bc_PSC1	LTR/Gypsy#Gypsy-16_SI-I	2	44.5
Bc_PSC1	DNA/hAT-Charlie#hAT-N11_AP	2	52
Bc_PSC1	LTR/Copia#Copia-3_DPu-I	1	56
Bc_PSC1	DNA/TcMar-Tc1#Mariner-76_LMi	1	39
Bc_PSC1	LTR/Gypsy#Gypsy-13_DBi-I	1	83
Bc_PSC1	LINE/CR1#CR1-2_HRo	4	98
Bc_PSC1	LTR/Gypsy#Gypsy2-I_DV	1	58
Bc_PSC1	LTR/Juno-Vesta#Vesta3_Av	1	58
Bc_PSC1	LTR/Gypsy#Gypsy-15_DAn-LTR	1	44
Bc_PSC1	LINE/R1#SART-1_PXu	1	72
Bc_PSC1	LTR/Gypsy#Gypsy-12_DEl-LTR	1	48
Bc_PSC1	DNA/TcMar-Tc4#Mariner-N1B_LMi	1	95
Bc_PSC1	LINE/L2#Daphne-37_HRo	1	11
Bc_PSC1	LINE/I-Jockey#rnd-4_family-1361	140	378.39
Bc_PSC1	LTR/Gypsy#GYPSY3-I_CB	1	39
Bc_PSC1	DNA/hAT-Pegasus#hAT-9_DBp	1	56
Bc_PSC1	LTR/Gypsy#Gypsy-1_BM-LTR	1	205
Bc_PSC1	LINE/I-Jockey#Jockey_Ele5	1	113
Bc_PSC1	LTR/Gypsy#Gypsy-133_AA-I	1	44
Bc_PSC1	LINE/CR1#CR1-123_AAe	1	54
Bc_PSC1	LINE/L2#Kiri-5_LMi	1	36
Bc_PSC1	LTR/Juno-Vesta#Vesta5_Av	3	170.33
Bc_PSC1	DNA/RC#Helitron-N1_PBa	1	57
Bc_PSC1	LINE/CR1#rnd-1_family-453	65	203.43
Bc_PSC1	LTR/Gypsy#Gypsy-271_AA-LTR	2	56
Bc_PSC1	LINE/CR1#CR1-125_AAe	1	43
Bc_PSC1	DNA/CMC-Transib#Transib-10_DAn	1	65
Bc_PSC1	DNA/hAT-hobo#hAT-3_DT	1	53
Bc_PSC1	LINE/RTE-BovB#RTE-4_LMi	1	51
Bc_PSC1	LINE/RTE-RTE#RTE-35_PPo	1	49
Bc_PSC1	LINE/RTE-X#RTEX-11_CGi	1	53
Bc_PSC1	DNA/TcMar-Tc1#Mariner-N7_RPr	1	43
Bc_PSC1	LINE/Proto2#rnd-1_family-1122	21	174.71
Bc_PSC1	DNA/CMC-EnSpm#EnSpm-3_CGi	1	229
Bc_PSC1	DNA#DNA4-2_RPr	1	41
Bc_PSC1	LINE/Proto2#rnd-1_family-678	146	172.1
Bc_PSC1	LINE#rnd-5_family-319	45	726.49
Bc_PSC1	LINE/L2#Kiri-10_CQ	2	123.5
Bc_PSC1	LTR/Gypsy#Gypsy-16_DAn-I	1	82
Bc_PSC1	LTR/Gypsy#Gypsy-41_DEl-I	1	250
Bc_PSC1	DNA/P#AgaP15	1	55
Bc_PSC1	LINE/CR1#CR1-8_HRo	5	67.4
Bc_PSC1	DNA/Sola-2#Sola2-1_RPr	1	59
Bc_PSC1	LTR/Pao#BEL-18_DWil-I	1	54
Bc_PSC1	LINE/CR1#CR1-4B_AG	1	46
Bc_PSC1	LTR/Juno-Vesta#Vesta2_Av	13	230.15
Bc_PSC1	LTR/Copia#Copia-2_DTa-I	1	55
Bc_PSC1	DNA/CMC-Transib#Transib-1_DEl	1	27
Bc_PSC1	DNA/RC#Helitron-2_DVir	1	2454
Bc_PSC1	LTR/Gypsy#Gypsy-592_AA-I	1	165
Bc_PSC1	DNA/RC#Helitron-N41_CGi	1	48
Bc_PSC1	LINE/CR1#CR1-91_AAe	1	46
Bc_PSC1	LTR/Gypsy#Gypsy-199_AA-I	1	40
Bc_PSC1	DNA/MULE-MuDR#rnd-1_family-944	5	134.6
Bc_PSC1	SINE/tRNA-Deu-RTE#SINE2-1_LMi	3	95.33
Bc_PSC1	DNA/hAT-Tip100#hAT-3_LMi	1	108
Bc_PSC1	LINE/I#rnd-5_family-4044	55	416.56
Bc_PSC1	DNA/RC#HELITRON11_CB	2	57.5
Bc_PSC1	LINE/I-Jockey#Ingi-3_AC	1	72
Bc_PSC1	DNA/RC#Helitron-3_DRh	2	409.5
Bc_PSC1	DNA/TcMar-Mariner#Mariner-2N1_RPr	1	35
Bc_PSC1	LINE/L2#Daphne-27_HRo	1	84
Bc_PSC1	DNA/Sola-2#Sola2-6_AAe	1	111
Bc_PSC1	LINE/CR1#CR1-113_AAe	1	15
Bc_PSC1	LTR/Gypsy#Gypsy-238_AA-I	1	43
Bc_PSC1	LINE/R1#RTAg4	6	133
Bc_PSC1	LINE/CR1#CR1-7_HRo	35	257.54
Bc_PSC1	DNA/PiggyBac-Looper#Looper_Av	1	45
Bc_PSC1	LINE/CR1#CR1-19_HRo	3	167.67
Bc_PSC1	LINE/CR1#CR1-1_DVi	2	52.5
Bc_PSC1	LINE/CR1#CR1-18_HRo	19	126.63
Bc_PSC1	DNA#DNA2-14_CB	1	126
Bc_PSC1	LTR/DIRS#rnd-5_family-1015	42	541.38
Bc_PSC1	LTR/Gypsy#Gypsy-8_AA-I	1	41
Bc_PSC1	DNA/MULE-NOF#MuDR-1_DK	1	13
Bc_PSC1	DNA/PIF-Spy#ISL2EU-13_CGi	4	77.25
Bc_PSC1	LINE/L2#L2-5B_HRo	2	49
Bc_PSC1	DNA/hAT#hAT3a_Av	1	59
Bc_PSC1	LTR/Pao#BEL-48_AA-I	1	28
Bc_PSC1	LINE/I-Jockey#Jockey-1_PPo	2	90.5
Bc_PSC1	DNA/TcMar-Mariner#Mariner-57_LMi	1	48
Bc_PSC1	PLE/Penelope-Athena#AthW	7	65.43
Bc_PSC1	LTR/Gypsy#Gypsy-9_DRh-I	1	55
Bc_PSC1	LTR/Gypsy#Gypsy-28_LSal-I	1	142
Bc_PSC1	DNA/RC#Helitron2_CE	1	35
Bc_PSC1	LTR/Pao#BEL-16_DPu-I	1	61
Bc_PSC1	LTR/Gypsy#Gypsy-5_ACe-I	2	203.5
Bc_PSC1	LTR/Pao#BEL-1_MMa-I	1	67
Bc_PSC1	DNA/hAT-Ac#hAT-15N2_LSal	1	53
Bc_PSC1	LTR/Gypsy#Gypsy-55_AA-I	1	42
Bc_PSC1	LTR/Gypsy#Gypsy-624_AA-I	1	45
Bc_PSC1	LINE/CR1#CR1-79_AAe	1	59
Bc_PSC1	LINE/I#I-54_AAe	1	63
Bc_PSC1	LINE/L1#L1-23_LSal	1	41
