Species	DNA/Other	DNA/Academ	DNA/CMC	DNA/Crypton	DNA/Dada	DNA/Ginger	DNA/Harbinger	DNA/hAT	DNA/IS3EU	DNA/IS5	DNA/Kolobok	DNA/Maverick	DNA/Merlin	DNA/MULE	DNA/P	DNA/PIF	DNA/PiggyBac	DNA/Sola	DNA/TcMar	DNA/Zator	DNA/Zisupton	RC/Helitron	PLE/Penelope	LTR/Other	LTR/Copia	LTR/DIRS	LTR/ERVK	LTR/ERVL	LTR/ERV1	LTR/Gypsy	LTR/Juno	LTR/Mag	LTR/Ngaro	LTR/Pao	LTR/TelKA	LTR/Unknown	LINE/Other	LINE/CRE	LINE/CR1	LINE/Dong	LINE/I	LINE/L1	LINE/L2	LINE/Proto2	LINE/Rex	LINE/RTE	LINE/R1	LINE/R2	LINE/Soliton	LINE/Tad1	SINE/Other
'Drosophila melanogaster'	0.106690474	0.001721755	1.019162065	0.020462126	0.000315541	0.044830784	0	0.626053267	0.00261007	0	0.238829989	0.227950695	0	0.059311356	4.474016855	0.108182433	0.036318045	0.07736577	2.783127011	0.001913823	0	4.059938322	0.099234111	0.797865162	2.499054664	0.002740402	0	0	0	45.37565031	0.001063235	0	0.000596783	11.17587431	0	0.109640093	0	0.005909528	3.040954607	0.001293031	15.89427741	0.020547871	0.211100138	0.000541907	0.000178349	0.012271788	6.674268224	0.172415538	0.001780061	0	0.013942096
'Polypedilum nubifer'	15.32782454	0.022089791	2.592658639	0.779086832	0.006144978	1.497768128	0	2.947420676	1.67765935	0	3.996324259	11.58179769	0.077836389	0.290741807	0.116794747	4.748582036	0.107075239	1.7481057	5.290986803	0.121333195	0	4.558087715	7.100060325	0.023134035	3.185669108	0.034861706	0	0	0	10.6934668	0.061851414	0.003534366	0.002690938	5.186883645	0.136996865	0	0	0.06217272	0.450993197	0.011687507	3.314593158	2.426663903	1.933097655	0.033576482	0	0.481155802	7.196452139	0.066068555	0.015462853	0	0.090608305
'Polypedilum vanderplanki'	5.35048418	0.093887176	1.708608527	0.208386137	0	0.173079825	0	10.14267498	0.021302132	0	0.274659437	0.880882618	0.062427082	1.808906066	0.244284174	0.2970464	0.214796501	0.441230277	3.434968831	0.236000012	0	27.64563114	1.754763147	0	3.450057841	0.024458004	0	0	0	8.573319277	0.084912666	0	0.003846218	10.55185343	0	0	0	0.03816632	0.756422938	0.053748436	9.551540805	1.441937389	3.386250065	0.020710406	0.005917259	0.404543271	6.375945159	0.105228589	0.057298791	0	0.119824494
'Caenorhabditis elegans'	30.61836674	0.007426542	1.33500694	0.005276568	0.000976622	0.008902014	0	7.774408784	0.003154699	0.000435616	0.029579698	0.346525106	0.118290687	4.790302075	0.013286273	0.136326574	10.05749773	0.025258673	19.67100491	0.002775292	0	15.9006895	0.032692241	0.233672586	0.019623776	0.005086865	0	0	0	1.061229623	0.001826775	0	0	2.82480493	0	0.302893295	0	0.001721384	2.620648807	0.001868931	0.26744684	0.017804027	0.049828793	0.000337251	0	0.779351263	0.052126313	0.190448287	0.001475472	0	0.689621496
'Hypsibius exemplaris'	1.314142721	0.006861468	0.14467406	0.034684722	0.008611143	0.613964186	0	4.810849903	0.044187856	0.002470129	0.985478388	3.620899758	0.052764691	0.309143455	0.149339858	0.258437205	0.579176541	1.524103652	31.63692678	1.077696523	0	9.885008652	0.523255575	8.055295201	0.19448832	0.009057138	0	0	0	18.06700087	0.006552702	0.001646752	1.769023764	0.48098893	0.013242634	2.297391133	1.459434313	3.705467355	0.83291364	0.003499349	0.692699535	0.127794848	2.793338063	0.001337986	0.006792854	0.079558725	0.512311533	1.286147931	0.004425647	0	0.016913519
'Ramazzottius varieornatus'	0.010816914	0.003827523	0.003869127	0	0	0.517506135	0	27.44712921	0.004035541	0	0.009152774	0.04626311	0	0.008903152	0	5.4441945	3.108697922	0.018430358	39.21189628	0.005242043	0	2.2647706	0.014103592	0	0.029538496	0	0	0	0	0.436712107	0.035404592	0	4.717131454	0.108377159	0.020760154	0	0.066940057	9.136464941	5.917933736	0	0.209806531	0.021550621	0.142408835	0.002537814	0.002329797	0.88590527	0.134836995	0.004160352	0	0	0.008362307
'Pomphorhynchus laevis'	0.017553841	0.000532319	0.7150402	0.001029783	8.63434E-05	0.02694784	0	0.726437523	0.001088402	0	0.00411438	0.031144602	0.46573367	0.143262634	0.00689717	0.02738827	0.002696447	0.009436774	0.339868033	0.000277249	0.117670147	0.047021481	20.39844447	0.000165557	0.013827611	0.000289131	0	0	0	6.183834108	0.000421419	6.33713E-05	6.1787E-05	0.135108336	0.000172687	0.505196543	4.296881718	13.51472303	12.18308039	0.000278834	8.399730118	0.016137493	23.08318647	0.000132288	0.202150385	6.51681923	1.178117822	0.238100906	0.000132288	0.257300024	0.191416877	
'Crassostrea gigas'	20.71114574	0.25002517	0.508098922	6.666018534	0.050801608	0.017235783	0.000312959	1.714822816	0.552916561	0	3.025818366	0.350108692	0.042706083	0.236849576	0.007777043	6.744489442	0.377769708	0.538175249	4.239611462	0.683159251	0	29.39924795	1.859971582	0.028098239	0.10594875	0.735271607	0	0.02990604	0	6.347800413	0.002081181	0	1.544441231	1.186966946	0.001891564	1.482379525	0.073222393	0.000541236	1.752143234	0.000446427	0.040791507	3.700569132	0.29276531	0.16434791	4.5103E-05	4.217404225	0.015097534	0.065345019	0.000819217	0	0.234613757
'Lottia gigantea'	5.674437851	0.560302592	0.568717799	0.272246922	0.022769073	0.032436994	0	2.724472844	0.248322608	0	3.187056509	11.89229734	0.00963543	0.227022857	0.261275745	0.64783735	0.258023021	0.91747415	2.541984517	0.086285653	0	1.70199814	13.43641739	0.003873667	0.398294518	0.684202162	2.64555546	0	0	8.272733134	0.008014483	0.003703991	0.525269917	6.41640205	0.003068608	8.763652689	0	0.130722711	1.640698178	0.003306877	2.892271562	2.754213073	1.382537973	0.129791298	0.023628283	1.880569479	0.078675505	0.014433289	0.001555965	0	16.07181034
'Octopus bimaculoides'	0.617579502	0.001449399	0.756255397	0.047686025	0.386310348	0.575258973	0	2.744863644	0.008647033	1.37714E-05	1.716714598	0.323776029	0.129891505	0.133575812	0.128301351	0.267608764	0.277770656	1.411828871	14.02026253	0.000514372	0	2.288211464	7.578831991	0.001518614	0.081295671	0.000481643	0	0	0.079565835	3.168668436	0.002563455	0.000192979	1.069856657	0.178008379	0.00087708	2.865526675	0.070230051	0.269973338	3.338966776	10.7161366	0.693692819	3.535979384	1.299260049	0.000688393	0.002714941	13.63525528	0.290865865	0.657784237	0.000359488	0.012366216	24.61181911
