Species	DNA.transposons	Rolling.circles	Penelope	LTRs	LINEs	SINEs	Satellite	Simple	Low.complexity	Unclassified
'Drosophila melanogaster'	1.993886256	0.823600451	0.020130665	12.16400982	5.281578068	0.002828298	1.315549012	2.183158897	0.325642538	0.660481741
'Polypedilum nubifer'	1.139348802	0.098115041	0.15283223	0.416067981	0.344233893	0.001950388	0.029793553	3.387128094	1.066551624	4.633896911
'Polypedilum vanderplanki'	0.203725175	0.220059143	0.013967909	0.180599975	0.176693702	0.000953803	0.014562957	1.368950903	0.645242371	8.09355612
'Caenorhabditis elegans'	10.63623272	2.256639961	0.004639712	0.631425591	0.565279035	0.097871694	1.028632985	1.004425316	0.278091543	5.004047358
'Hypsibius exemplaris'	1.320198755	0.276636746	0.01464356	0.864602764	0.321993186	0.000473333	0.011971581	6.865528365	0.223219243	19.65607335
'Ramazzottius varieornatus'	3.26522437	0.097507748	0.000607218	0.230250261	0.711464262	0.000360032	0.000943964	0.214134803	0.028901069	12.94375456
'Pomphorhynchus laevis'	1.278911205	0.022803038	9.892212776	3.316636895	33.8915455	0.092827494	0.024143715	1.633503434	0.322904995	16.1114716
'Crassostrea gigas'	9.100074768	5.72662044	0.362300128	2.233202532	2.010901274	0.045699942	0.030144552	0.79233446	0.125987579	18.00247875
'Lottia gigantea'	2.321711935	0.131138683	1.035273803	2.13618913	0.842339988	1.238330407	0.01437307	0.675457501	0.104111015	18.41710407
'Octopus bimaculoides'	5.631077739	0.547177161	1.812316667	1.781163793	8.255746563	5.885393688	0.018886713	6.427982212	0.397712198	28.73733692
'Aplysia californica'	4.653117506	0.08902639	0.117794426	1.203749211	5.683260776	0.640678547	0.088190747	4.582551816	0.460141271	26.39182746
'Biomphalaria glabrata'	5.079610463	0.056736879	0.061199072	3.425160426	12.76315625	1.833236845	0.016187356	2.669487025	0.414394083	25.24257288
'Lingula anatina'	2.358589585	0.091196378	0.096150843	1.874538032	1.326794539	0.012808377	0.044999122	1.692963382	0.220434804	17.14433154
'Helobdella robusta'	4.74588105	0.178198584	1.184273247	2.126791349	11.37912139	0.003951972	0.037948192	10.5504262	0.642040359	14.8217078
'Capitella teleta'	4.647529977	0.027438826	0.044839043	3.519238809	5.515150646	0.010660303	0.010332354	1.338209335	0.166260102	18.39540323
'Schistosoma haematobium'	0.671519352	0.006926684	2.677234493	5.443815679	15.4629906	0.001152718	0.001371397	0.952774855	0.096878069	24.06695304
'Intoshia linei'	7.970712641	0.005196732	0.002223394	1.31371321	0.021618598	0.001252311	0.004735228	1.775691158	0.562629179	30.18922306
