ID	DNA/Other	DNA/Academ	DNA/CMC	DNA/Crypton	DNA/Dada	DNA/Ginger	DNA/hAT	DNA/IS3EU	DNA/IS5	DNA/Kolobok	DNA/Maverick	DNA/Merlin	DNA/MULE	DNA/P	DNA/PIF	DNA/PiggyBac	DNA/Sola	DNA/TcMar	DNA/Zator	DNA/Zisupton	RC/Helitron	PLE/Penelope	LTR/Other	LTR/Copia	LTR/DIRS	LTR/ERVK	LTR/ERVL	LTR/ERV1	LTR/Gypsy	LTR/Juno	LTR/Mag	LTR/Ngaro	LTR/Pao	LTR/TelKA	LTR/Unknown	LINE/Other	LINE/CRE	LINE/CR1	LINE/Dong	LINE/I	LINE/L1	LINE/L2	LINE/Proto2	LINE/Rex	LINE/RTE	LINE/R1	LINE/R2	LINE/Soliton	LINE/Tad1	SINE/Other
Ar_ARIC003	1.469581369	0.020901997	2.894486588	0.295948366	0.004714986	0.674873841	9.372412154	0.043995466	0.096557596	1.874455867	0.446213634	0.216474293	4.909163475	1.633360716	0.881785346	4.712013983	3.47140826	12.86885632	0.628172239	0.891281726	11.54794642	13.65087988	0.00788598	0.203723909	0.010724932	0	0	0	5.273097287	4.76809575	0.43072391	0.001112338	0.505781834	1.874406061	0.668714476	0	0.005827324	0.309080598	0.010160462	2.209037233	1.968340531	0.774353399	0.014194763	0.001394573	2.739041477	0.332954364	0.505698824	2.778238946	0	2.001926503
Ar_Ar2018	1.079238093	0.009984517	1.694523279	0.262698044	0.866263512	0.612042351	11.91785786	0.018191164	0.081497552	0.69976956	0.324951934	0.189506699	3.680844775	1.090829804	0.637544116	3.744464069	2.69062818	11.46589491	0.535437497	0.32863568	8.488247427	10.68721638	0.001976991	0.139072088	0.007637729	0	0	4.133846005	9.107927507	3.309127754	0.338620197	1.122646563	3.112139779	1.63919597	1.489086866	0.211509616	0.004793137	0.197940914	0.005845636	2.551342747	2.268448102	1.823041932	0.00884668	0.000640033	2.782608053	0.251433461	0.503265165	2.264294998	0	1.618444674
As_ASTE804	0.897040126	0.022158177	4.360133828	0.390086412	0	1.255011823	16.14459919	0.048098863	0.022646243	0.998313733	0.642318702	0.230464565	4.970801477	2.043945425	0.650322977	5.813690727	1.524350812	8.558961982	0.796449811	0	8.261949676	18.49849066	0.008589954	0.227511768	0.013983079	0	0	0	2.167840871	4.067172465	0.293180992	2.958043443	0.415831871	0.984599091	0	0	0.014544354	0.912145756	0.014275918	2.128966448	2.654100605	0.774291634	0.015008016	0.003074813	1.687511134	0.488236399	0.14036766	3.819064329	0	0.081824194
As_ASTE805	0.39127616	0.015849363	3.592986777	0.323100008	0.002249972	0.95359004	13.63969063	0.039085802	0.020747532	0.598950597	0.513292359	0.199789578	3.668530095	1.538443465	0.495372225	5.001429628	1.447030873	5.678731032	1.16906969	0	10.86041729	14.53549819	0.005654798	0.816899243	0.006550804	0	0	0	10.52069138	3.324184773	0.252673883	5.345197524	0.320929681	0.830538456	2.255328452	0.514029075	0.012444537	0.803001184	0.008760954	2.817423308	1.520244574	0.787390757	0.007187965	0.002986689	1.252258932	0.578461911	0.279613817	2.990611443	0	0.061804549
As_ASTE806	1.171020329	0.023049609	4.147676837	0.363883168	0.002831093	1.181668245	16.65492055	0.050684085	0.020894971	1.364211123	0.641455573	0.217893962	5.343174848	1.883328394	0.674977721	5.771571866	1.886084325	7.339847186	1.233379541	0	9.240563002	15.15639535	0.014280736	0.221551835	0.01488203	0	0	0	4.435821998	3.212464026	0.129679102	0.865162045	0.442226783	0.831163872	1.145791029	0	0.011123942	1.123067121	0.01302804	4.034859025	2.239494953	0.807688347	0.008693711	0.005311432	1.508045691	0.570928781	0.246204894	3.646748715	0	0.102270111
As_10x_p	0.361981734	0.014451478	6.66445395	2.039980967	0.002183602	1.009598521	8.451653156	0.057925018	0.021041987	0.981489602	0.597096166	0.143264172	5.523065095	1.896101416	0.410020988	4.21520633	1.170847637	6.819092705	0.621989234	0	11.96665758	13.15562912	0.008119031	0.188722805	0.004168696	0	0	0	5.877920345	2.975753874	0.158092818	4.861096085	0.327857983	0.511340142	2.114600618	0	0.015602832	0.452025559	0.007900671	6.210105831	4.454926177	0.693809904	0.007980074	0.00021836	1.503152229	0.7629904	0.191521786	2.491331595	0	0.057031726
Av_Av2013	0.592750288	0.007167375	2.784381612	0.19560537	1.09242669	0.746306437	10.56001958	0.042373746	0.045934253	2.967562295	0.376866716	0.177645207	3.547016313	1.185954911	2.051371444	4.111403081	2.09783421	9.49718961	0.449495502	0	13.29660324	19.53503854	0.001233197	0.089541195	0.007519717	0	0	0.697099114	4.72907692	3.701824204	0.048966248	1.702321191	1.288087692	1.343099385	1.294559656	0	0.014770542	0.14482178	0.004877153	3.593627434	0.367130954	0.599240796	0.003551235	0.000630507	1.92357334	0.224033795	1.000539639	1.827523092	0	0.031404787
Ba_OHJ22	0.28300976	0.002807331	0.25205209	0.013292027	0.001318076	1.258677049	3.043951161	0.005443483	0	0.021277514	0.036221415	0.682078685	8.623769396	0.013112289	0.505456493	1.10027683	0.018761187	10.46382925	0.002028468	4.187955592	2.910953863	0.941191897	0.000958601	0.036478183	0.160522835	0	0	0	15.18126627	0.046688993	0	0	0.41888286	0.157835329	2.216310661	1.416948883	0	19.58441062	0.001994232	15.18835307	0.030820727	5.225521102	2.409793956	0.091999997	3.256332585	0.174396869	0.006299376	0.0004793	0	0.026241696
Ba_OHJ82	0.249434985	0.003003035	0.241643575	0.011325469	0.001409961	1.232571756	4.455825864	0.00463273	0	0.023841165	0.039176784	0.2636994	8.803487549	0.013403789	0.849382707	1.178187531	0.021863557	10.46975976	0.002169876	0	2.626144621	0.793625143	0.000824003	0.035496235	0.164342901	0	0	0	16.18563332	0.037748511	0	0	0.257327107	0.204700756	2.192361763	1.046502632	0	21.08185238	0.001666318	16.20018156	0.037098464	4.661469647	2.607897523	0.001528984	3.384099573	0.209425042	0.344259466	0.000512713	0	0.06048185
Bc_PSC1	0.605125845	0.005426689	0.270646739	0.027446043	0	0.947457396	3.987641153	0.007602366	0	0.035973697	3.93211137	1.689976005	17.06582424	0.020581406	1.506318842	0.683875356	0.027808655	11.42338053	0.0032135	0	2.64494824	2.578877676	0.001262893	1.046825825	0.564825802	0	0	0	17.01805937	0.08433875	0	0	0.162700641	0.174791904	2.008575169	1.497153489	0.002038134	9.345633829	0.004151292	5.602193683	1.332577265	5.310677949	3.400070772	0.978742133	3.25786401	0.366614109	0.008690205	0.006139411	0.337079916	0.024757706
