ID	DNA.transposons	Rolling.circles	Penelope	LTRs	LINEs	SINEs	Satellite	Simple	Low.complexity	Unclassified
Ar_ARIC003	1.657833315	0.403837162	0.477377741	0.480643515	0.40734736	0.070008319	0.002537143	0.746878099	0.187343941	8.626503874
Ar_Ar2018	1.689515948	0.342016565	0.43061952	0.983199554	0.518731914	0.065211917	0.040525134	0.752775823	0.198376244	9.357036435
As_ASTE804	1.235787134	0.206808512	0.463043892	0.278768998	0.316687465	0.002048178	0.00304997	2.05417914	0.436798143	15.52521023
As_ASTE805	1.184384287	0.327390286	0.438176617	0.713799429	0.348913949	0.001863115	0.003046169	1.782558928	0.426406698	16.96898543
As_ASTE806	1.217508579	0.225132877	0.369263528	0.275625362	0.346332542	0.002491662	0.003477462	1.869189416	0.437078621	15.33140079
As_10x_p	1.206881462	0.352239723	0.387237215	0.501211184	0.494261352	0.001678734	0.005257658	1.833703229	0.451173447	16.18737934
Av_Av2013	2.104665502	0.65801457	0.96673863	0.737527257	0.480241759	0.001554142	0.037808274	1.371181675	0.318721592	12.84766295
Ba_OHJ22	3.115826144	0.297228629	0.096102237	1.860280827	4.838577982	0.00267946	0.005132572	1.812484896	0.919480254	24.26632423
Ba_OHJ82	2.650061729	0.249757417	0.075477095	1.814439508	4.714933474	0.005752079	0.004627959	1.794496182	0.913261352	24.77527144
Bc_PSC1	2.893960294	0.181209776	0.176683172	1.442949979	2.154665872	0.001696191	0.018686375	1.556566529	0.761481119	26.44979021
Bc_v0.6	3.132841434	0.169738679	0.40784079	2.879464647	2.81358065	0.011066426	0.036528076	1.370369094	0.669553848	24.54205634
Bp_HYR1	2.655665805	0.190184429	0.042320247	1.289764311	4.869817428	0.004157646	0.007006523	1.68945779	0.869006101	25.75830428
Bp_Tokyo1	1.761597154	0.169807346	0.085773227	0.759687774	3.119117001	0.006927281	0.009906886	1.874662319	0.941634699	23.45771195
Br_Italy2	0.492006549	0.08166096	0.005589648	0.25750377	2.402477385	0.005687575	0.005948059	2.181124185	1.033154604	3.408856909
Bt_SM28	1.922387683	0.075490289	0.054558801	0.710163204	4.31928394	0.002441396	0.005868931	1.957347691	1.074468015	12.20181347
Dc_DCAR505	2.649360569	0.189639585	0.723374026	0.735349161	2.307705498	0.085582765	0.049501004	0.799551347	0.168975103	35.27461248
Dc_DCAR706	2.575262338	0.248089896	0.73338584	1.13531207	2.535036821	0.058643496	0.045126337	0.793584918	0.166887091	37.6994141
Rc_Rc2018	1.660687257	0.194403037	0.288003494	0.514188209	0.676262499	0.00194781	0.027123489	0.894761094	0.182976788	18.24243145
Rd_RSOR408	3.453691501	0.278580558	0.544576076	0.471235204	0.525160746	0.000970584	0.038544314	1.701066404	0.40537375	34.557298
Rd_RSOR410	3.431481369	0.300388919	0.534502335	0.371648409	0.638256849	0.001221587	0.007201784	2.223983303	0.401926369	33.28646166
Rd_RSOR504	3.693542193	0.246299296	0.59874857	0.479792309	0.496962849	0.000892379	0.031454662	2.182608796	0.412738606	32.9220356
Rd_10x_p	3.142179593	0.451646573	0.559914071	0.546356828	0.500947203	0.001074393	0.019036721	2.212592068	0.405819373	33.71512747
Rg_MAG1	2.759325669	0.273282927	0.706884424	0.785173306	0.990194003	0.000976692	0.050761849	1.069703543	0.220212947	25.52098992
Rg_MAG2	2.899143536	0.268067759	0.751981959	0.846655763	1.074950082	0.001011464	0.029269863	1.059521247	0.209261236	28.23437814
Rg_MAG3	2.836268973	0.301926564	0.825666085	0.892760018	1.07380209	0.00107064	0.01796858	1.027260959	0.207883433	27.80238922
Rg_Rg2018	2.638152202	0.271673406	0.785097624	1.106232138	1.093794407	0.001225763	0.015282145	1.127016365	0.237646832	20.54201033
Rg_RM9	2.295551846	0.208821337	0.635898709	1.253871096	1.028231336	0.002390818	0.012466692	1.312962989	0.259785242	18.08143503
Rg_RM15	2.813699592	0.288469732	0.680343379	1.309222119	1.111001555	0.001245539	0.027456273	1.136248911	0.234956403	22.02561468
Rp_RPSE411	3.348266417	0.339304086	0.601692787	0.535192247	0.959865685	0.00111694	0.01081188	1.701656609	0.316913787	31.75452452
Rp_RPSE503	3.700729565	0.384527399	0.598935145	0.538312384	1.007667525	0.012708678	0.016216265	1.308239862	0.301157947	31.80046263
Rp_RPSE809	3.632690189	0.319964864	0.582437159	0.717421584	1.01140422	0.007030202	0.010101828	1.562852296	0.317918131	31.90904253
Rp_RPSE812	3.599367352	0.306455502	0.58935973	0.550872791	0.996691355	0.001111291	0.024211627	1.333334136	0.328599966	29.72855911
Rs_AK11	2.027309441	0.300741814	0.670472407	0.745793157	0.819670356	0.001348116	0.022159616	1.228246569	0.250467213	15.91103028
Rs_AK15	1.86904127	0.213263805	0.669012623	0.603681842	0.766782486	0.001475465	0.01296995	1.237435943	0.259412222	14.17318628
Rs_AK16	1.834663349	0.241842008	0.558167309	0.737040107	0.717595716	0.001477927	0.010681923	1.231733225	0.258193724	14.02239144
Rs_AK27	2.038526261	0.22503056	0.672504945	0.776207095	0.810956366	0.001282764	0.012472275	1.230644402	0.248784054	16.54733214
Rs_RS1	1.822800182	0.161644314	0.522338135	0.875220475	0.773266883	0.001337171	0.048447363	1.296159424	0.266293594	13.32824355
Rw_RSIL801	2.863866685	0.223725431	0.534117974	0.551671758	0.623612246	0.001008313	0.004605374	1.485638069	0.358278431	29.00175347
Rw_RSIL802	2.59882887	0.211636113	0.536060679	0.366821383	0.623053135	0.000806172	0.004910388	1.897508969	0.363445468	27.93617269
Rw_RSIL804	2.622431019	0.2610355	0.49502274	0.373622393	0.583960676	0.000680804	0.008109074	2.060851996	0.343700756	31.28729314
Rw_RSIL806	2.817334564	0.285588432	0.550130245	0.575168126	0.62261451	0.003397757	0.089422044	1.819327377	0.357788197	31.06171713
Rw_10x_p	2.866311757	0.62187241	0.506160391	0.698124227	0.602162443	0.008839124	0.010003328	1.632208827	0.34219447	34.34255559
