ID	Syndermata	Eurotatoria	Bdelloid	Desiccating	DNA.transposons	Rolling.circles	Penelope	LTRs	LINEs	SINEs	Satellite	Simple	Low.complexity	Unclassified	SUM.known.all	SUM.known.I	SUM.known.II	SUM.TOTAL
Ar_Ar2018	1	1	1	1	1.689515948	0.342016565	0.43061952	0.983199554	0.518731914	0.065211917	0.040525134	0.752775823	0.198376244	9.357036435	4.029295418	1.997762905	2.031532513	14.37800905
Ar_ARIC003	1	1	1	1	1.657833315	0.403837162	0.477377741	0.480643515	0.40734736	0.070008319	0.002537143	0.746878099	0.187343941	8.626503874	3.497047413	1.435376936	2.061670476	13.06031047
As_10x_m	1	1	1	1	1.244636756	0.334775695	0.297103362	0.814508729	0.484967346	0.001524204	0.089992517	1.82259396	0.444080422	19.6559026	3.177516092	1.598103641	1.579412451	25.19008559
As_10x_p	1	1	1	1	1.206881462	0.352239723	0.387237215	0.501211184	0.494261352	0.001678734	0.005257658	1.833703229	0.451173447	16.18737934	2.943509671	1.384388486	1.559121186	21.42102334
As_ASTE804	1	1	1	1	1.235787134	0.206808512	0.463043892	0.278768998	0.316687465	0.002048178	0.00304997	2.05417914	0.436798143	15.52521023	2.503144179	1.060548532	1.442595646	20.52238167
As_ASTE805	1	1	1	1	1.184384287	0.327390286	0.438176617	0.713799429	0.348913949	0.001863115	0.003046169	1.782558928	0.426406698	16.96898543	3.014527683	1.50275311	1.511774573	22.19552491
As_ASTE806	1	1	1	1	1.217508579	0.225132877	0.369263528	0.275625362	0.346332542	0.002491662	0.003477462	1.869189416	0.437078621	15.33140079	2.43635455	0.993713094	1.442641456	20.07750084
Av_Av2013	1	1	1	1	2.104665502	0.65801457	0.96673863	0.737527257	0.480241759	0.001554142	0.037808274	1.371181675	0.318721592	12.84766295	4.94874186	2.186061788	2.762680072	19.52411635
Ba_OHJ22	1	1	0	0	3.115826144	0.297228629	0.096102237	1.860280827	4.838577982	0.00267946	0.005132572	1.812484896	0.919480254	24.26632423	10.21069528	6.797640506	3.413054773	37.21411724
Ba_OHJ82	1	1	0	0	2.650061729	0.249757417	0.075477095	1.814439508	4.714933474	0.005752079	0.004627959	1.794496182	0.913261352	24.77527144	9.510421302	6.610602156	2.899819146	36.99807823
Bc_PSC1	1	1	0	0	2.893960294	0.181209776	0.176683172	1.442949979	2.154665872	0.001696191	0.018686375	1.556566529	0.761481119	26.44979021	6.851165283	3.775995214	3.075170069	35.63768952
Bc_v0.6	1	1	0	0	3.132841434	0.169738679	0.40784079	2.879464647	2.81358065	0.011066426	0.036528076	1.370369094	0.669553848	24.54205634	9.414532626	6.111952513	3.302580113	36.03303999
Bp_HYR1	1	1	0	0	2.655665805	0.190184429	0.042320247	1.289764311	4.869817428	0.004157646	0.007006523	1.68945779	0.869006101	25.75830428	9.051909866	6.206059632	2.845850234	37.37568456
Bp_Tokyo1	1	1	0	0	1.761597154	0.169807346	0.085773227	0.759687774	3.119117001	0.006927281	0.009906886	1.874662319	0.941634699	23.45771195	5.902909782	3.971505282	1.931404499	32.18682564
